"Statistic Label","Census Year","County and City","Detailed Marital Status","Sex","UNIT","VALUE"
"Population","2011","Limerick City and County","Single","Female","Number","49675"
"Population","2011","Limerick City and County","Married (first marriage)","Both sexes","Number","68578"
"Population","2011","Limerick City and County","Married (first marriage)","Male","Number","34320"
"Population","2011","Limerick City and County","Married (first marriage)","Female","Number","34258"
"Population","2011","Limerick City and County","Re-married","Both sexes","Number","1851"
"Population","2011","Limerick City and County","Re-married","Male","Number","975"
"Population","2011","Limerick City and County","Re-married","Female","Number","876"
"Population","2011","Limerick City and County","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Limerick City and County","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Limerick City and County","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Limerick City and County","Separated","Both sexes","Number","4930"
"Population","2011","Limerick City and County","Separated","Male","Number","2193"
"Population","2011","Limerick City and County","Separated","Female","Number","2737"
"Population","2011","Limerick City and County","Divorced","Both sexes","Number","3319"
"Population","2011","Limerick City and County","Divorced","Male","Number","1501"
"Population","2011","Limerick City and County","Divorced","Female","Number","1818"
"Population","2011","Limerick City and County","Widowed","Both sexes","Number","8512"
"Population","2011","Limerick City and County","Widowed","Male","Number","1882"
"Population","2011","Limerick City and County","Widowed","Female","Number","6630"
"Population","2011","Tipperary","All marital status","Both sexes","Number","158754"
"Population","2011","Tipperary","All marital status","Male","Number","79584"
"Population","2011","Tipperary","All marital status","Female","Number","79170"
"Population","2011","Tipperary","Single","Both sexes","Number","82703"
"Population","2011","Tipperary","Single","Male","Number","44100"
"Population","2011","Tipperary","Single","Female","Number","38603"
"Population","2011","Tipperary","Married (first marriage)","Both sexes","Number","58839"
"Population","2011","Tipperary","Married (first marriage)","Male","Number","29375"
"Population","2011","Tipperary","Married (first marriage)","Female","Number","29464"
"Population","2011","Tipperary","Re-married","Both sexes","Number","1870"
"Population","2011","Tipperary","Re-married","Male","Number","1004"
"Population","2011","Tipperary","Re-married","Female","Number","866"
"Population","2011","Tipperary","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Tipperary","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Tipperary","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Tipperary","Separated","Both sexes","Number","4420"
"Population","2011","Tipperary","Separated","Male","Number","2004"
"Population","2011","Tipperary","Separated","Female","Number","2416"
"Population","2011","Tipperary","Divorced","Both sexes","Number","3057"
"Population","2011","Tipperary","Divorced","Male","Number","1421"
"Population","2011","Tipperary","Divorced","Female","Number","1636"
"Population","2011","Tipperary","Widowed","Both sexes","Number","7865"
"Population","2011","Tipperary","Widowed","Male","Number","1680"
"Population","2011","Tipperary","Widowed","Female","Number","6185"
"Population","2011","Waterford City and County","All marital status","Both sexes","Number","113795"
"Population","2011","Waterford City and County","All marital status","Male","Number","56464"
"Population","2011","Waterford City and County","All marital status","Female","Number","57331"
"Population","2011","Waterford City and County","Single","Both sexes","Number","60505"
"Population","2011","Waterford City and County","Single","Male","Number","31522"
"Population","2011","Waterford City and County","Single","Female","Number","28983"
"Population","2011","Waterford City and County","Married (first marriage)","Both sexes","Number","41090"
"Population","2011","Waterford City and County","Married (first marriage)","Male","Number","20463"
"Population","2011","Waterford City and County","Married (first marriage)","Female","Number","20627"
"Population","2011","Waterford City and County","Re-married","Both sexes","Number","1498"
"Population","2011","Waterford City and County","Re-married","Male","Number","819"
"Population","2011","Waterford City and County","Re-married","Female","Number","679"
"Population","2011","Waterford City and County","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Waterford City and County","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Waterford City and County","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Waterford City and County","Separated","Both sexes","Number","3216"
"Population","2011","Waterford City and County","Separated","Male","Number","1424"
"Population","2011","Waterford City and County","Separated","Female","Number","1792"
"Population","2011","Waterford City and County","Divorced","Both sexes","Number","2323"
"Population","2011","Waterford City and County","Divorced","Male","Number","1041"
"Population","2011","Waterford City and County","Divorced","Female","Number","1282"
"Population","2011","Waterford City and County","Widowed","Both sexes","Number","5163"
"Population","2011","Waterford City and County","Widowed","Male","Number","1195"
"Population","2011","Waterford City and County","Widowed","Female","Number","3968"
"Population","2011","Galway City","All marital status","Both sexes","Number","75529"
"Population","2011","Galway City","All marital status","Male","Number","36514"
"Population","2011","Galway City","All marital status","Female","Number","39015"
"Population","2011","Galway City","Single","Both sexes","Number","47349"
"Population","2011","Galway City","Single","Male","Number","23367"
"Population","2011","Galway City","Single","Female","Number","23982"
"Population","2011","Galway City","Married (first marriage)","Both sexes","Number","21857"
"Population","2011","Galway City","Married (first marriage)","Male","Number","10914"
"Population","2011","Galway City","Married (first marriage)","Female","Number","10943"
"Population","2011","Galway City","Re-married","Both sexes","Number","617"
"Population","2011","Galway City","Re-married","Male","Number","340"
"Population","2011","Galway City","Re-married","Female","Number","277"
"Population","2011","Galway City","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Galway City","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Galway City","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Galway City","Separated","Both sexes","Number","1668"
"Population","2011","Galway City","Separated","Male","Number","653"
"Population","2011","Galway City","Separated","Female","Number","1015"
"Population","2011","Galway City","Divorced","Both sexes","Number","1623"
"Population","2011","Galway City","Divorced","Male","Number","663"
"Population","2011","Galway City","Divorced","Female","Number","960"
"Population","2011","Galway City","Widowed","Both sexes","Number","2415"
"Population","2011","Galway City","Widowed","Male","Number","577"
"Population","2011","Galway City","Widowed","Female","Number","1838"
"Population","2011","Galway County","All marital status","Both sexes","Number","175124"
"Population","2011","Galway County","All marital status","Male","Number","88244"
"Population","2011","Galway County","All marital status","Female","Number","86880"
"Population","2011","Galway County","Single","Both sexes","Number","90405"
"Population","2011","Galway County","Single","Male","Number","48438"
"Population","2011","Galway County","Single","Female","Number","41967"
"Population","2011","Galway County","Married (first marriage)","Both sexes","Number","68640"
"Population","2011","Galway County","Married (first marriage)","Male","Number","34207"
"Population","2011","Galway County","Married (first marriage)","Female","Number","34433"
"Population","2011","Galway County","Re-married","Both sexes","Number","1909"
"Population","2011","Galway County","Re-married","Male","Number","1065"
"Population","2011","Galway County","Re-married","Female","Number","844"
"Population","2011","Galway County","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Galway County","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Galway County","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Galway County","Separated","Both sexes","Number","3627"
"Population","2011","Galway County","Separated","Male","Number","1685"
"Population","2011","Galway County","Separated","Female","Number","1942"
"Population","2011","Galway County","Divorced","Both sexes","Number","2731"
"Population","2011","Galway County","Divorced","Male","Number","1236"
"Population","2011","Galway County","Divorced","Female","Number","1495"
"Population","2011","Galway County","Widowed","Both sexes","Number","7812"
"Population","2011","Galway County","Widowed","Male","Number","1613"
"Population","2011","Galway County","Widowed","Female","Number","6199"
"Population","2011","Leitrim","All marital status","Both sexes","Number","31798"
"Population","2011","Leitrim","All marital status","Male","Number","16144"
"Population","2011","Leitrim","All marital status","Female","Number","15654"
"Population","2011","Leitrim","Single","Both sexes","Number","16073"
"Population","2011","Leitrim","Single","Male","Number","8806"
"Population","2011","Leitrim","Single","Female","Number","7267"
"Population","2011","Leitrim","Married (first marriage)","Both sexes","Number","12148"
"Population","2011","Leitrim","Married (first marriage)","Male","Number","6057"
"Population","2011","Leitrim","Married (first marriage)","Female","Number","6091"
"Population","2011","Leitrim","Re-married","Both sexes","Number","491"
"Population","2011","Leitrim","Re-married","Male","Number","256"
"Population","2011","Leitrim","Re-married","Female","Number","235"
"Population","2011","Leitrim","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Leitrim","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Leitrim","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Leitrim","Separated","Both sexes","Number","761"
"Population","2011","Leitrim","Separated","Male","Number","360"
"Population","2011","Leitrim","Separated","Female","Number","401"
"Population","2011","Leitrim","Divorced","Both sexes","Number","605"
"Population","2011","Leitrim","Divorced","Male","Number","291"
"Population","2011","Leitrim","Divorced","Female","Number","314"
"Population","2011","Leitrim","Widowed","Both sexes","Number","1720"
"Population","2011","Leitrim","Widowed","Male","Number","374"
"Population","2011","Leitrim","Widowed","Female","Number","1346"
"Population","2011","Mayo","All marital status","Both sexes","Number","130638"
"Population","2011","Mayo","All marital status","Male","Number","65420"
"Population","2011","Mayo","All marital status","Female","Number","65218"
"Population","2011","Mayo","Single","Both sexes","Number","66623"
"Population","2011","Mayo","Single","Male","Number","35764"
"Population","2011","Mayo","Single","Female","Number","30859"
"Population","2011","Mayo","Married (first marriage)","Both sexes","Number","50126"
"Population","2011","Mayo","Married (first marriage)","Male","Number","24946"
"Population","2011","Mayo","Married (first marriage)","Female","Number","25180"
"Population","2011","Mayo","Re-married","Both sexes","Number","1558"
"Population","2011","Mayo","Re-married","Male","Number","844"
"Population","2011","Mayo","Re-married","Female","Number","714"
"Population","2011","Mayo","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Mayo","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Mayo","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Mayo","Separated","Both sexes","Number","2978"
"Population","2011","Mayo","Separated","Male","Number","1349"
"Population","2011","Mayo","Separated","Female","Number","1629"
"Population","2011","Mayo","Divorced","Both sexes","Number","2382"
"Population","2011","Mayo","Divorced","Male","Number","1076"
"Population","2011","Mayo","Divorced","Female","Number","1306"
"Population","2011","Mayo","Widowed","Both sexes","Number","6971"
"Population","2011","Mayo","Widowed","Male","Number","1441"
"Population","2011","Mayo","Widowed","Female","Number","5530"
"Population","2011","Roscommon","All marital status","Both sexes","Number","64065"
"Population","2011","Roscommon","All marital status","Male","Number","32353"
"Population","2011","Roscommon","All marital status","Female","Number","31712"
"Population","2011","Roscommon","Single","Both sexes","Number","32210"
"Population","2011","Roscommon","Single","Male","Number","17493"
"Population","2011","Roscommon","Single","Female","Number","14717"
"Population","2011","Roscommon","Married (first marriage)","Both sexes","Number","24922"
"Population","2011","Roscommon","Married (first marriage)","Male","Number","12461"
"Population","2011","Roscommon","Married (first marriage)","Female","Number","12461"
"Population","2011","Roscommon","Re-married","Both sexes","Number","856"
"Population","2011","Roscommon","Re-married","Male","Number","465"
"Population","2011","Roscommon","Re-married","Female","Number","391"
"Population","2011","Roscommon","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Roscommon","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Roscommon","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Roscommon","Separated","Both sexes","Number","1502"
"Population","2011","Roscommon","Separated","Male","Number","722"
"Population","2011","Roscommon","Separated","Female","Number","780"
"Population","2011","Roscommon","Divorced","Both sexes","Number","1181"
"Population","2011","Roscommon","Divorced","Male","Number","548"
"Population","2011","Roscommon","Divorced","Female","Number","633"
"Population","2011","Roscommon","Widowed","Both sexes","Number","3394"
"Population","2011","Roscommon","Widowed","Male","Number","664"
"Population","2011","Roscommon","Widowed","Female","Number","2730"
"Population","2011","Sligo","All marital status","Both sexes","Number","65393"
"Population","2011","Sligo","All marital status","Male","Number","32435"
"Population","2011","Sligo","All marital status","Female","Number","32958"
"Population","2011","Sligo","Single","Both sexes","Number","34918"
"Population","2011","Sligo","Single","Male","Number","18248"
"Population","2011","Sligo","Single","Female","Number","16670"
"Population","2011","Sligo","Married (first marriage)","Both sexes","Number","23888"
"Population","2011","Sligo","Married (first marriage)","Male","Number","11910"
"Population","2011","Sligo","Married (first marriage)","Female","Number","11978"
"Population","2011","Sligo","Re-married","Both sexes","Number","719"
"Population","2011","Sligo","Re-married","Male","Number","405"
"Population","2011","Sligo","Re-married","Female","Number","314"
"Population","2011","Sligo","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Sligo","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Sligo","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Sligo","Separated","Both sexes","Number","1570"
"Population","2011","Sligo","Separated","Male","Number","707"
"Population","2011","Sligo","Separated","Female","Number","863"
"Population","2011","Sligo","Divorced","Both sexes","Number","1212"
"Population","2011","Sligo","Divorced","Male","Number","547"
"Population","2011","Sligo","Divorced","Female","Number","665"
"Population","2011","Sligo","Widowed","Both sexes","Number","3086"
"Population","2011","Sligo","Widowed","Male","Number","618"
"Population","2011","Sligo","Widowed","Female","Number","2468"
"Population","2011","Cavan","All marital status","Both sexes","Number","73183"
"Population","2011","Cavan","All marital status","Male","Number","37013"
"Population","2011","Cavan","All marital status","Female","Number","36170"
"Population","2011","Cavan","Single","Both sexes","Number","38419"
"Population","2011","Cavan","Single","Male","Number","20671"
"Population","2011","Cavan","Single","Female","Number","17748"
"Population","2011","Cavan","Married (first marriage)","Both sexes","Number","27895"
"Population","2011","Cavan","Married (first marriage)","Male","Number","13975"
"Population","2011","Cavan","Married (first marriage)","Female","Number","13920"
"Population","2011","Cavan","Re-married","Both sexes","Number","804"
"Population","2011","Cavan","Re-married","Male","Number","418"
"Population","2011","Cavan","Re-married","Female","Number","386"
"Population","2011","Cavan","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Cavan","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Cavan","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Cavan","Separated","Both sexes","Number","1569"
"Population","2011","Cavan","Separated","Male","Number","700"
"Population","2011","Cavan","Separated","Female","Number","869"
"Population","2011","Cavan","Divorced","Both sexes","Number","1279"
"Population","2011","Cavan","Divorced","Male","Number","566"
"Population","2011","Cavan","Divorced","Female","Number","713"
"Population","2011","Cavan","Widowed","Both sexes","Number","3217"
"Population","2011","Cavan","Widowed","Male","Number","683"
"Population","2011","Cavan","Widowed","Female","Number","2534"
"Population","2011","Donegal","All marital status","Both sexes","Number","161137"
"Population","2011","Donegal","All marital status","Male","Number","80523"
"Population","2011","Donegal","All marital status","Female","Number","80614"
"Population","2011","Donegal","Single","Both sexes","Number","84655"
"Population","2011","Donegal","Single","Male","Number","44840"
"Population","2011","Donegal","Single","Female","Number","39815"
"Population","2011","Donegal","Married (first marriage)","Both sexes","Number","60670"
"Population","2011","Donegal","Married (first marriage)","Male","Number","30158"
"Population","2011","Donegal","Married (first marriage)","Female","Number","30512"
"Population","2011","Donegal","Re-married","Both sexes","Number","1652"
"Population","2011","Donegal","Re-married","Male","Number","895"
"Population","2011","Donegal","Re-married","Female","Number","757"
"Population","2011","Donegal","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Donegal","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Donegal","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Donegal","Separated","Both sexes","Number","4013"
"Population","2011","Donegal","Separated","Male","Number","1781"
"Population","2011","Donegal","Separated","Female","Number","2232"
"Population","2011","Donegal","Divorced","Both sexes","Number","2949"
"Population","2011","Donegal","Divorced","Male","Number","1282"
"Population","2011","Donegal","Divorced","Female","Number","1667"
"Population","2011","Donegal","Widowed","Both sexes","Number","7198"
"Population","2011","Donegal","Widowed","Male","Number","1567"
"Population","2011","Donegal","Widowed","Female","Number","5631"
"Population","2011","Monaghan","All marital status","Both sexes","Number","60483"
"Population","2011","Monaghan","All marital status","Male","Number","30441"
"Population","2011","Monaghan","All marital status","Female","Number","30042"
"Population","2011","Monaghan","Single","Both sexes","Number","31460"
"Population","2011","Monaghan","Single","Male","Number","16939"
"Population","2011","Monaghan","Single","Female","Number","14521"
"Population","2011","Monaghan","Married (first marriage)","Both sexes","Number","23188"
"Population","2011","Monaghan","Married (first marriage)","Male","Number","11604"
"Population","2011","Monaghan","Married (first marriage)","Female","Number","11584"
"Population","2011","Monaghan","Re-married","Both sexes","Number","539"
"Population","2011","Monaghan","Re-married","Male","Number","255"
"Population","2011","Monaghan","Re-married","Female","Number","284"
"Population","2011","Monaghan","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Monaghan","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Monaghan","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Monaghan","Separated","Both sexes","Number","1382"
"Population","2011","Monaghan","Separated","Male","Number","634"
"Population","2011","Monaghan","Separated","Female","Number","748"
"Population","2011","Monaghan","Divorced","Both sexes","Number","1149"
"Population","2011","Monaghan","Divorced","Male","Number","462"
"Population","2011","Monaghan","Divorced","Female","Number","687"
"Population","2011","Monaghan","Widowed","Both sexes","Number","2765"
"Population","2011","Monaghan","Widowed","Male","Number","547"
"Population","2011","Monaghan","Widowed","Female","Number","2218"
"Population","2016","State","All marital status","Both sexes","Number","4761865"
"Population","2016","State","All marital status","Male","Number","2354428"
"Population","2016","State","All marital status","Female","Number","2407437"
"Population","2016","State","Single","Both sexes","Number","2551414"
"Population","2016","State","Single","Male","Number","1314780"
"Population","2016","State","Single","Female","Number","1236634"
"Population","2016","State","Married (first marriage)","Both sexes","Number","1726196"
"Population","2016","State","Married (first marriage)","Male","Number","860005"
"Population","2016","State","Married (first marriage)","Female","Number","866191"
"Population","2016","State","Re-married","Both sexes","Number","61729"
"Population","2016","State","Re-married","Male","Number","34583"
"Population","2016","State","Re-married","Female","Number","27146"
"Population","2016","State","Registered Same-Sex Civil Partnership","Both sexes","Number","4226"
"Population","2016","State","Registered Same-Sex Civil Partnership","Male","Number","2526"
"Population","2016","State","Registered Same-Sex Civil Partnership","Female","Number","1700"
"Population","2016","State","Separated","Both sexes","Number","118178"
"Population","2016","State","Separated","Male","Number","51615"
"Population","2016","State","Separated","Female","Number","66563"
"Population","2016","State","Divorced","Both sexes","Number","103895"
"Population","2016","State","Divorced","Male","Number","43309"
"Population","2016","State","Divorced","Female","Number","60586"
"Population","2016","State","Widowed","Both sexes","Number","196227"
"Population","2016","State","Widowed","Male","Number","47610"
"Population","2016","State","Widowed","Female","Number","148617"
"Population","2016","Carlow","All marital status","Both sexes","Number","56932"
"Population","2016","Carlow","All marital status","Male","Number","28465"
"Population","2016","Carlow","All marital status","Female","Number","28467"
"Population","2016","Carlow","Single","Both sexes","Number","30376"
"Population","2016","Carlow","Single","Male","Number","15971"
"Population","2016","Carlow","Single","Female","Number","14405"
"Population","2016","Carlow","Married (first marriage)","Both sexes","Number","20468"
"Population","2016","Carlow","Married (first marriage)","Male","Number","10245"
"Population","2016","Carlow","Married (first marriage)","Female","Number","10223"
"Population","2016","Carlow","Re-married","Both sexes","Number","738"
"Population","2016","Carlow","Re-married","Male","Number","403"
"Population","2016","Carlow","Re-married","Female","Number","335"
"Population","2016","Carlow","Registered Same-Sex Civil Partnership","Both sexes","Number","29"
"Population","2016","Carlow","Registered Same-Sex Civil Partnership","Male","Number","12"
"Population","2016","Carlow","Registered Same-Sex Civil Partnership","Female","Number","17"
"Population","2016","Carlow","Separated","Both sexes","Number","1585"
"Population","2016","Carlow","Separated","Male","Number","696"
"Population","2016","Carlow","Separated","Female","Number","889"
"Population","2016","Carlow","Divorced","Both sexes","Number","1360"
"Population","2016","Carlow","Divorced","Male","Number","557"
"Population","2016","Carlow","Divorced","Female","Number","803"
"Population","2016","Carlow","Widowed","Both sexes","Number","2376"
"Population","2016","Carlow","Widowed","Male","Number","581"
"Population","2016","Carlow","Widowed","Female","Number","1795"
"Population","2016","Dublin City","All marital status","Both sexes","Number","554554"
"Population","2016","Dublin City","All marital status","Male","Number","272270"
"Population","2016","Dublin City","All marital status","Female","Number","282284"
"Population","2016","Dublin City","Single","Both sexes","Number","333814"
"Population","2016","Dublin City","Single","Male","Number","167682"
"Population","2016","Dublin City","Single","Female","Number","166132"
"Population","2016","Dublin City","Married (first marriage)","Both sexes","Number","162955"
"Population","2016","Dublin City","Married (first marriage)","Male","Number","82068"
"Population","2016","Dublin City","Married (first marriage)","Female","Number","80887"
"Population","2016","Dublin City","Re-married","Both sexes","Number","6198"
"Population","2016","Dublin City","Re-married","Male","Number","3551"
"Population","2016","Dublin City","Re-married","Female","Number","2647"
"Population","2016","Dublin City","Registered Same-Sex Civil Partnership","Both sexes","Number","1431"
"Population","2016","Dublin City","Registered Same-Sex Civil Partnership","Male","Number","1010"
"Population","2016","Dublin City","Registered Same-Sex Civil Partnership","Female","Number","421"
"Population","2016","Dublin City","Separated","Both sexes","Number","13689"
"Population","2016","Dublin City","Separated","Male","Number","6332"
"Population","2016","Dublin City","Separated","Female","Number","7357"
"Population","2016","Dublin City","Divorced","Both sexes","Number","12226"
"Population","2016","Dublin City","Divorced","Male","Number","5325"
"Population","2016","Dublin City","Divorced","Female","Number","6901"
"Population","2016","Dublin City","Widowed","Both sexes","Number","24241"
"Population","2016","Dublin City","Widowed","Male","Number","6302"
"Population","2016","Dublin City","Widowed","Female","Number","17939"
"Population","2016","Dún Laoghaire-Rathdown","All marital status","Both sexes","Number","218018"
"Population","2016","Dún Laoghaire-Rathdown","All marital status","Male","Number","104584"
"Population","2016","Dún Laoghaire-Rathdown","All marital status","Female","Number","113434"
"Population","2016","Dún Laoghaire-Rathdown","Single","Both sexes","Number","113350"
"Population","2016","Dún Laoghaire-Rathdown","Single","Male","Number","56201"
"Population","2016","Dún Laoghaire-Rathdown","Single","Female","Number","57149"
"Population","2016","Dún Laoghaire-Rathdown","Married (first marriage)","Both sexes","Number","82495"
"Population","2016","Dún Laoghaire-Rathdown","Married (first marriage)","Male","Number","40663"
"Population","2016","Dún Laoghaire-Rathdown","Married (first marriage)","Female","Number","41832"
"Population","2016","Dún Laoghaire-Rathdown","Re-married","Both sexes","Number","3047"
"Population","2016","Dún Laoghaire-Rathdown","Re-married","Male","Number","1839"
"Population","2016","Dún Laoghaire-Rathdown","Re-married","Female","Number","1208"
"Population","2016","Dún Laoghaire-Rathdown","Registered Same-Sex Civil Partnership","Both sexes","Number","239"
"Population","2016","Dún Laoghaire-Rathdown","Registered Same-Sex Civil Partnership","Male","Number","118"
"Population","2016","Dún Laoghaire-Rathdown","Registered Same-Sex Civil Partnership","Female","Number","121"
"Population","2016","Dún Laoghaire-Rathdown","Separated","Both sexes","Number","4621"
"Population","2016","Dún Laoghaire-Rathdown","Separated","Male","Number","1875"
"Population","2016","Dún Laoghaire-Rathdown","Separated","Female","Number","2746"
"Population","2016","Dún Laoghaire-Rathdown","Divorced","Both sexes","Number","4587"
"Population","2016","Dún Laoghaire-Rathdown","Divorced","Male","Number","1684"
"Population","2016","Dún Laoghaire-Rathdown","Divorced","Female","Number","2903"
"Population","2016","Dún Laoghaire-Rathdown","Widowed","Both sexes","Number","9679"
"Population","2016","Dún Laoghaire-Rathdown","Widowed","Male","Number","2204"
"Population","2016","Dún Laoghaire-Rathdown","Widowed","Female","Number","7475"
"Population","2016","Fingal","All marital status","Both sexes","Number","296020"
"Population","2016","Fingal","All marital status","Male","Number","145240"
"Population","2016","Fingal","All marital status","Female","Number","150780"
"Population","2016","Fingal","Single","Both sexes","Number","160071"
"Population","2016","Fingal","Single","Male","Number","80627"
"Population","2016","Fingal","Single","Female","Number","79444"
"Population","2016","Fingal","Married (first marriage)","Both sexes","Number","109696"
"Population","2016","Fingal","Married (first marriage)","Male","Number","54606"
"Population","2016","Fingal","Married (first marriage)","Female","Number","55090"
"Population","2016","Fingal","Re-married","Both sexes","Number","4274"
"Population","2016","Fingal","Re-married","Male","Number","2492"
"Population","2016","Fingal","Re-married","Female","Number","1782"
"Population","2016","Fingal","Registered Same-Sex Civil Partnership","Both sexes","Number","279"
"Population","2016","Fingal","Registered Same-Sex Civil Partnership","Male","Number","166"
"Population","2016","Fingal","Registered Same-Sex Civil Partnership","Female","Number","113"
"Population","2016","Fingal","Separated","Both sexes","Number","6896"
"Population","2016","Fingal","Separated","Male","Number","2707"
"Population","2016","Fingal","Separated","Female","Number","4189"
"Population","2016","Fingal","Divorced","Both sexes","Number","6695"
"Population","2016","Fingal","Divorced","Male","Number","2517"
"Population","2016","Fingal","Divorced","Female","Number","4178"
"Population","2016","Fingal","Widowed","Both sexes","Number","8109"
"Population","2016","Fingal","Widowed","Male","Number","2125"
"Population","2016","Fingal","Widowed","Female","Number","5984"
"Population","2016","South Dublin","All marital status","Both sexes","Number","278767"
"Population","2016","South Dublin","All marital status","Male","Number","136277"
"Population","2016","South Dublin","All marital status","Female","Number","142490"
"Population","2016","South Dublin","Single","Both sexes","Number","153372"
"Population","2016","South Dublin","Single","Male","Number","77274"
"Population","2016","South Dublin","Single","Female","Number","76098"
"Population","2016","South Dublin","Married (first marriage)","Both sexes","Number","99766"
"Population","2016","South Dublin","Married (first marriage)","Male","Number","49658"
"Population","2016","South Dublin","Married (first marriage)","Female","Number","50108"
"Population","2016","South Dublin","Re-married","Both sexes","Number","3458"
"Population","2016","South Dublin","Re-married","Male","Number","1986"
"Population","2016","South Dublin","Re-married","Female","Number","1472"
"Population","2016","South Dublin","Registered Same-Sex Civil Partnership","Both sexes","Number","227"
"Population","2016","South Dublin","Registered Same-Sex Civil Partnership","Male","Number","106"
"Population","2016","South Dublin","Registered Same-Sex Civil Partnership","Female","Number","121"
"Population","2016","South Dublin","Separated","Both sexes","Number","6723"
"Population","2016","South Dublin","Separated","Male","Number","2548"
"Population","2016","South Dublin","Separated","Female","Number","4175"
"Population","2016","South Dublin","Divorced","Both sexes","Number","5862"
"Population","2016","South Dublin","Divorced","Male","Number","2221"
"Population","2016","South Dublin","Divorced","Female","Number","3641"
"Population","2016","South Dublin","Widowed","Both sexes","Number","9359"
"Population","2016","South Dublin","Widowed","Male","Number","2484"
"Population","2016","South Dublin","Widowed","Female","Number","6875"
"Population","2016","Kildare","All marital status","Both sexes","Number","222504"
"Population","2016","Kildare","All marital status","Male","Number","110546"
"Population","2016","Kildare","All marital status","Female","Number","111958"
"Population","2016","Kildare","Single","Both sexes","Number","119379"
"Population","2016","Kildare","Single","Male","Number","61394"
"Population","2016","Kildare","Single","Female","Number","57985"
"Population","2016","Kildare","Married (first marriage)","Both sexes","Number","83220"
"Population","2016","Kildare","Married (first marriage)","Male","Number","41487"
"Population","2016","Kildare","Married (first marriage)","Female","Number","41733"
"Population","2016","Kildare","Re-married","Both sexes","Number","2999"
"Population","2016","Kildare","Re-married","Male","Number","1711"
"Population","2016","Kildare","Re-married","Female","Number","1288"
"Population","2016","Kildare","Registered Same-Sex Civil Partnership","Both sexes","Number","149"
"Population","2016","Kildare","Registered Same-Sex Civil Partnership","Male","Number","77"
"Population","2016","Kildare","Registered Same-Sex Civil Partnership","Female","Number","72"
"Population","2016","Kildare","Separated","Both sexes","Number","5382"
"Population","2016","Kildare","Separated","Male","Number","2285"
"Population","2016","Kildare","Separated","Female","Number","3097"
"Population","2016","Kildare","Divorced","Both sexes","Number","4425"
"Population","2016","Kildare","Divorced","Male","Number","1790"
"Population","2016","Kildare","Divorced","Female","Number","2635"
"Population","2016","Kildare","Widowed","Both sexes","Number","6950"
"Population","2016","Kildare","Widowed","Male","Number","1802"
"Population","2016","Kildare","Widowed","Female","Number","5148"
"Population","2016","Kilkenny","All marital status","Both sexes","Number","99232"
"Population","2016","Kilkenny","All marital status","Male","Number","49533"
"Population","2016","Kilkenny","All marital status","Female","Number","49699"
"Population","2016","Kilkenny","Single","Both sexes","Number","51261"
"Population","2016","Kilkenny","Single","Male","Number","26835"
"Population","2016","Kilkenny","Single","Female","Number","24426"
"Population","2016","Kilkenny","Married (first marriage)","Both sexes","Number","37969"
